stid,table,datetime,record_number,year,month,day,hour,minute,second,microsecond,TIMESTAMP_START,TIMESTAMP_END,FC,FC_mass,FC_QC,FC_samples_Tot,LE,LE_QC,ET,ET_interval,ET_QC,LE_samples_Tot,H,H_QC,H_samples_Tot,TAU,TAU_QC,Bowen_ratio,USTAR,TSTAR,TKE,ZL,MO_LENGTH,CO2,CO2_SIGMA,CO2_density_Avg,CO2_density_SIGMA,CO2_sig_strgth_Min,H2O,H2O_SIGMA,H2O_density_Avg,H2O_density_SIGMA,H2O_sig_strgth_Min,PA,PA_SIGMA,Tc,Tc_SIGMA,RH,T_DP,e,e_sat,VPD,q,rho_d,rho_d_SIGMA,rho_a,Cp,Lv,WS,WS_RSLT,WS_MAX,WD,WD_SONIC,WD_SIGMA,U,U_SIGMA,V,V_SIGMA,W,W_SIGMA,Ts,Ts_SIGMA,Rn,ALB,SW_IN,SW_OUT,LW_IN,LW_OUT,T_surf_eff,T_nr,LWS_volt,G_6cm,G_HFP01_1,G_HFP01_2,G_HFP01_3,G_HFP01_4,PBLH,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,UPWND_DIST_INTRST,FTPRNT_DIST_INTRST,FTPRNT_EQUATION,sonic_azimuth,alpha,beta,gamma,height_measurement,height_canopy,displacement_user,d,roughness_user,z0,z
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 00:00:00.000000,3989,2019,9,3,0,0,0,0,201909022330,201909030000,5.672099,0.2496291,7,18000,-6.722646,7,-0.00988918,-0.00494459,7,18000,0.8590671,9,18000,0.3194664,2,-0.1277871,0.5203454,-0.001372774,1.602144,-0.0003207064,-28063.05,406.9522,0.8862965,717.6782,1.58552,0.9738722,26.3468,0.07285543,19.02049,0.05916358,0.9585398,101.1701,0.008473815,22.71745,0.1293122,93.65138,21.63949,2.597083,2.773359,1.76276,16.33308,1160.87,0.501927,1.17989,1019.282,2447.273,3.650508,3.478549,7.970781,182.0812,19.41883,17.58004,3.478564,1.297305,0,1.058421,0,0.6332729,25.16161,0.1248826,-34.96649,0.006553821,-1.475826,-0.4794241,395.4722,429.4423,23.32586,296.1298,313.0919,NAN,NAN,NAN,NAN,NAN,1000,78.97963,223.7155,113.1147,85.53127,900,99.09587,Kljun et al,201.5,-0.1641764,0,19.41883,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 00:30:00.000000,3990,2019,9,3,0,30,0,0,201909030000,201909030030,10.60169,0.4665803,4,18000,-2.433793,6,-0.003581132,-0.001790566,6,18000,-6.098909,2,18000,0.03955015,1,2.505927,0.1831648,0.0277136,0.6280464,0.1034617,86.98872,414.0008,4.439729,729.551,7.912847,0.9731951,26.17673,0.0959817,18.88323,0.07089756,0.9579029,101.1708,0.007049447,22.99523,0.08348879,91.50743,21.5364,2.580763,2.820383,2.396195,16.27816,1159.981,0.2812646,1.178865,1019.185,2446.616,2.02579,1.838352,4.216067,212.2886,349.2114,24.63861,1.838357,0.6851494,0,0.8439935,-2.328306e-10,0.2726504,25.42612,0.07861882,-39.06615,0,-5.24915,-5.099493,389.1092,428.0257,23.0811,297.7216,286.1216,NAN,NAN,NAN,NAN,NAN,203.2486,63.51625,2131.278,270.219,165.3757,900,80.60422,KormannMeixner,201.5,0.1031632,0,349.2114,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 01:00:00.000000,3991,2019,9,3,1,0,0,0,201909030030,201909030100,4.044969,0.1780191,1,18000,-4.320015,1,-0.006356899,-0.003178449,1,18000,-7.886549,1,18000,0.07663912,1,1.825584,0.254991,0.02574576,0.6420606,0.05002953,179.8938,416.396,2.015475,733.6603,3.637796,0.9729863,26.18687,0.08367744,18.88769,0.0611221,0.9576921,101.1755,0.01337065,23.05096,0.06963924,91.23683,21.54336,2.58186,2.829899,2.480395,16.23005,1159.806,0.2457764,1.178694,1019.191,2446.484,2.330115,2.231087,5.159466,200.7071,0.7929279,16.69838,2.231254,0.8461682,0,0.6686291,1.862645e-09,0.3479307,25.48324,0.06940383,-38.33444,0,-5.220026,-6.041157,388.4461,427.6017,23.00775,298.0231,275.4978,NAN,NAN,NAN,NAN,NAN,281.542,72.07423,219.5508,105.5768,79.58546,900,96.79929,Kljun et al,201.5,-0.7097363,0,0.7929279,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 01:30:00.000000,3992,2019,9,3,1,30,0,0,201909030100,201909030130,3.556512,0.1565221,4,18000,-9.4187,2,-0.01385947,-0.006929736,2,18000,-7.587431,1,18000,0.04922736,2,0.805571,0.2043515,0.03090015,0.4745648,0.09737179,92.42924,418.8704,2.917741,738.0121,5.232641,0.9729182,26.39224,0.1259776,19.03561,0.09174367,0.9576203,101.1912,0.007020603,23.04071,0.09803911,92.00716,21.67024,2.601988,2.828169,2.26181,16.3689,1159.793,0.3249711,1.178829,1019.308,2446.509,2.121885,2.006351,4.204193,207.0203,354.4797,18.90067,2.006462,0.6170076,0,0.6690614,0,0.3475457,25.4917,0.09312968,-39.33066,0,-5.680023,-6.370261,387.0254,427.0463,22.91154,298.137,276.0072,NAN,NAN,NAN,NAN,NAN,209.1622,60.42924,191.8535,89.51308,67.36816,900,95.69314,Kljun et al,201.5,-0.5874003,0,354.4797,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 02:00:00.000000,3993,2019,9,3,2,0,0,0,201909030130,201909030200,2.454167,0.1080079,1,18000,-14.57479,1,-0.02144252,-0.01072126,1,18000,-5.822192,1,18000,0.1032475,2,0.39947,0.2958407,0.0163651,0.6551499,0.02640214,340.8815,420.4364,1.688795,741.2294,3.096269,0.972922,26.55971,0.08750579,19.16824,0.05975309,0.9576327,101.2034,0.009352443,22.84502,0.0702833,93.68784,21.77313,2.618388,2.794838,1.764495,16.55503,1160.511,0.394139,1.179679,1019.404,2446.971,2.247318,2.148704,5.475298,209.2235,352.2765,16.96769,2.148728,0.8454658,0,0.6368064,0,0.4358498,25.3097,0.07418209,-42.23328,0,-6.625436,-6.761629,384.0843,426.4537,22.80877,298.045,276.5759,NAN,NAN,NAN,NAN,NAN,383.3159,67.78463,201.4193,98.46364,74.30795,900,97.64807,Kljun et al,201.5,0.2103488,0,352.2765,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 02:30:00.000000,3994,2019,9,3,2,30,0,0,201909030200,201909030230,3.031595,0.1334205,6,18000,-29.40302,4,-0.04325446,-0.02162723,4,18000,-5.644049,4,18000,0.05078858,4,0.1919547,0.2074357,0.02261781,0.2857631,0.0849806,105.9065,424.2483,2.186802,748.5223,4.035824,0.9727634,26.19538,0.2486212,18.91972,0.173988,0.957477,101.2167,0.006113064,22.76266,0.06815114,92.90975,21.55458,2.583721,2.780921,1.972001,16.48002,1161.398,0.4323047,1.180318,1019.196,2447.166,1.326151,1.241171,3.819218,219.7849,341.7151,20.50438,1.243738,0.5149319,0,0.45646,7.450581e-09,0.3130743,25.19335,0.07624257,-45.73847,0,-7.505672,-7.219728,378.8123,424.2648,22.42821,298.1712,276.4961,NAN,NAN,NAN,NAN,NAN,223.8114,66.48801,208.3614,98.20392,73.94144,900,95.97482,Kljun et al,201.5,-3.682521,0,341.7151,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 03:00:00.000000,3995,2019,9,3,3,0,0,0,201909030230,201909030300,-1.966425,-0.08654238,4,18000,-4.425354,6,-0.006509531,-0.003254765,6,18000,-9.982702,1,18000,0.1124565,1,2.255797,0.3085617,0.02688692,0.6865172,0.03550121,253.5125,426.5953,8.772136,753.5483,15.36531,0.9727867,25.40204,0.1202154,18.36842,0.08537795,0.957476,101.2273,0.005687441,22.67361,0.1071213,90.66568,21.06774,2.507679,2.765975,2.582958,15.87708,1162.769,0.4463235,1.181138,1018.743,2447.377,2.174766,2.0534,4.951453,240.1347,321.3653,19.13493,2.054311,0.8854414,0,0.6729372,3.72529e-09,0.3690307,25.03103,0.1078026,-39.15035,0,-7.268093,-6.751288,385.3284,423.962,22.37549,298.0909,275.6615,NAN,NAN,NAN,NAN,NAN,328.0826,80.08995,239.9475,116.7926,88.0937,900,97.25278,Kljun et al,201.5,-1.704321,0,321.3653,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 03:30:00.000000,3996,2019,9,3,3,30,0,0,201909030300,201909030330,11.16257,0.4912647,2,18000,7.052675,1,0.01037347,0.005186737,1,18000,-6.328098,1,18000,0.03568463,1,-0.8972621,0.1738178,0.0302537,0.3783707,0.1141355,78.85362,428.999,6.391829,757.7013,11.31848,0.9732928,25.57929,0.136001,18.49426,0.09886239,0.9579612,101.2065,0.006329317,22.59908,0.07784884,91.67795,21.1748,2.524221,2.753467,2.292466,15.8615,1162.622,0.2316019,1.181116,1018.844,2447.553,2.174541,2.114016,4.541081,272.5734,288.9266,13.51347,2.114749,0.6625628,0,0.5256816,3.72529e-09,0.2034966,24.97212,0.06975368,-28.42006,0,-6.500827,-6.839603,396.0561,424.8149,22.52399,298.0797,275.0532,NAN,NAN,NAN,NAN,NAN,194.4061,83.47099,2979.252,364.1105,221.11,900,75.54962,KormannMeixner,201.5,-1.50647,0,288.9266,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 04:00:00.000000,3997,2019,9,3,4,0,0,0,201909030330,201909030400,6.482471,0.2852935,1,18000,13.19925,4,0.01941623,0.009708117,4,18000,-8.883892,1,18000,0.08270315,1,-0.6730601,0.2645929,0.02790529,0.4356032,0.04429547,203.181,431.2231,3.152116,762.0166,5.665329,0.9734333,25.02509,0.188678,18.10275,0.1360577,0.9580894,101.2401,0.007730305,22.7069,0.08462388,89.18542,20.83231,2.471683,2.771547,2.998633,15.58478,1163.213,0.2799213,1.181315,1018.527,2447.298,2.993857,2.925765,5.252944,266.2883,295.2117,12.21566,2.926735,0.6017383,0,0.634425,1.490116e-08,0.3265308,25.03009,0.07380117,-15.89033,0,-6.205914,-5.915895,411.5913,427.1917,22.93668,297.9696,282.3852,NAN,NAN,NAN,NAN,NAN,296.2639,78.10478,236.2413,114.2303,86.127,900,96.95815,Kljun et al,201.5,-1.473978,0,295.2117,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 04:30:00.000000,3998,2019,9,3,4,30,0,0,201909030400,201909030430,8.034555,0.3536008,7,18000,5.364045,7,0.007888225,0.003944112,7,18000,-6.246387,7,18000,0.09907475,1,-1.164492,0.2894762,0.01791816,0.9333003,0.02480311,362.8577,432.9241,2.693824,765.6507,4.56702,0.9739178,25.07655,0.1406734,18.15491,0.09816892,0.9585465,101.2235,0.01159918,22.40018,0.1794372,91.03088,20.86242,2.476239,2.720513,2.442734,15.58367,1164.171,0.6749802,1.182326,1018.557,2448.024,3.204667,3.037344,6.358829,282.8973,278.6027,18.50849,3.037815,0.8806413,0,0.9814829,3.72529e-09,0.3574393,24.72568,0.1834466,-37.6112,0,-10.07255,-3.268884,395.4822,426.2897,22.78003,296.7857,419.7355,NAN,NAN,NAN,NAN,NAN,397.2089,78.06977,230.6552,113.3122,85.5232,900,97.73011,Kljun et al,201.5,-0.9995293,0,278.6027,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 05:00:00.000000,3999,2019,9,3,5,0,0,0,201909030430,201909030500,5.643281,0.2483608,1,18000,3.537433,4,0.005199605,0.002599803,4,18000,-7.393516,1,18000,0.03657572,2,-2.090079,0.1757232,0.03487808,0.3849933,0.1344929,66.91801,431.0401,2.35763,763.8185,4.274911,0.9738154,24.8689,0.1623413,18.03994,0.1132238,0.9584748,101.2344,0.01298828,21.91197,0.08707012,93.02692,20.73227,2.456494,2.640701,1.842072,15.45484,1166.459,0.5170675,1.184499,1018.438,2449.178,2.501639,2.423971,4.331672,305.808,255.692,14.27226,2.425242,0.5644947,0,0.6167479,7.450581e-09,0.2663727,24.21466,0.08915778,-40.182,0,-2.957486,1.298827,386.4427,422.3683,22.09732,294.6749,365.3248,NAN,NAN,NAN,NAN,NAN,181.4326,99.64314,3840.938,448.7603,270.134,900,71.38329,KormannMeixner,201.5,-1.854061,0,255.692,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 05:30:00.000000,4000,2019,9,3,5,30,0,0,201909030500,201909030530,7.754789,0.3412882,2,11350,15.83187,4,0.02327235,0.01163617,4,11350,-11.1757,1,11350,0.03444578,1,-0.7058991,0.1705349,0.05434272,0.2048755,0.2092007,43.02088,432.988,2.665913,767.465,4.860714,0.9737743,24.36051,0.3026708,17.67569,0.2220117,0.9584375,101.2311,0.0199582,21.97397,0.1086082,90.82893,20.40398,2.407393,2.650727,2.433343,15.27923,1166.754,0.316211,1.18443,1018.147,2449.031,2.755742,2.728309,4.356196,296.8661,264.6339,8.08175,2.730103,0.4511175,0,0.3834944,0,0.2432615,24.24234,0.09719112,-47.83987,0,-5.267056,-2.031365,376.3687,420.9728,21.85305,296.0527,292.8693,NAN,NAN,NAN,NAN,NAN,155.4575,125.7104,5793.544,609.2383,359.4157,900,64.48338,KormannMeixner,201.5,-2.075489,0,264.6339,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 06:00:00.000000,4001,2019,9,3,6,0,0,0,201909030530,201909030600,5.458571,0.2402317,3,18000,21.65633,4,0.03183321,0.0159166,4,18000,-7.447877,4,18000,0.02411496,1,-0.3439123,0.1426789,0.04329828,0.3396963,0.2142067,42.0155,432.7558,2.721925,767.4927,4.99352,0.973735,23.6423,0.2058521,17.16432,0.1451626,0.9584062,101.2078,0.006272874,21.9443,0.1236674,88.34788,19.92829,2.337517,2.645946,3.084288,14.94575,1167.422,0.6052461,1.184587,1017.736,2449.102,2.042572,1.941105,3.853541,265.5878,295.9122,18.05335,1.941192,0.4916591,0,0.6210729,1.862645e-09,0.2278869,24.13517,0.1276346,-50.91876,0,-8.808783,-4.90075,372.0666,419.0773,21.52052,297.1716,273.6419,NAN,NAN,NAN,NAN,NAN,154.3647,100.4732,4501.74,481.3778,284.9256,900,69.51611,KormannMeixner,201.5,-0.5298011,0,295.9122,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 06:30:00.000000,4002,2019,9,3,6,30,0,0,201909030600,201909030630,5.400033,0.2376554,3,18000,4.225315,3,0.00620957,0.003104785,3,18000,-6.803091,3,18000,0.02669952,4,-1.610079,0.1500577,0.03757213,0.3314497,0.1970139,45.68205,434.38,2.585621,771.1969,4.770496,0.9735314,23.47809,0.1036616,17.06338,0.0792111,0.9582077,101.2235,0.01360348,21.72226,0.1368808,88.9633,19.82133,2.322018,2.610332,2.883136,14.62384,1168.67,0.5667763,1.185734,1017.642,2449.627,2.191889,2.145844,4.457236,292.5184,268.9816,11.73999,2.147298,0.65754,0,0.4200578,-7.450581e-09,0.2325766,23.89648,0.1317411,-49.65153,0,-3.970495,-0.08854467,371.2844,417.054,21.16425,294.7979,273.7919,NAN,NAN,NAN,NAN,NAN,158.3501,107.0188,4726.634,509.6678,302.1642,900,68.40384,KormannMeixner,201.5,-2.107565,0,268.9816,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 07:00:00.000000,4003,2019,9,3,7,0,0,0,201909030630,201909030700,4.366578,0.1921731,2,18000,-7.711157,2,-0.01132957,-0.005664784,2,18000,-7.963134,2,18000,0.05962539,2,1.032677,0.2241567,0.02941384,0.4058012,0.07620548,118.1017,433.9517,1.619579,770.9297,3.01527,0.973798,23.71341,0.06462557,17.24543,0.04740063,0.9584686,101.2226,0.01365865,21.46293,0.09750569,91.26667,19.97849,2.344731,2.569211,2.244806,14.62913,1169.419,0.32362,1.186664,1017.777,2450.24,2.997359,2.947333,5.18197,314.7359,246.7641,10.46432,2.948805,0.6407425,0,0.5354289,0,0.3381825,23.65673,0.09517254,-51.33326,0,-3.347713,0.00348584,368.5438,416.5258,21.07101,294.7062,274.2232,NAN,NAN,NAN,NAN,NAN,237.0671,66.50814,206.9629,98.00819,73.81992,900,96.19958,Kljun et al,201.5,-1.811135,0,246.7641,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 07:30:00.000000,4004,2019,9,3,7,30,0,0,201909030700,201909030730,3.047472,0.1341192,1,18000,-5.085853,2,-0.007472256,-0.003736128,2,18000,-12.3591,1,18000,0.07351048,1,2.430094,0.2489152,0.04112288,0.4876271,0.08361545,107.6356,436.3792,0.895694,775.1884,1.800217,0.9738026,23.52055,0.150501,17.10401,0.1119909,0.9584903,101.1917,0.0151447,21.44884,0.1105584,90.59359,19.84459,2.32539,2.567005,2.416153,14.77241,1169.338,0.3946349,1.186442,1017.667,2450.273,2.440819,2.388594,5.255072,315.6479,245.8521,11.8483,2.39093,0.8009403,0,0.4802867,7.450581e-09,0.3210505,23.62493,0.105718,-53.87672,0,-8.355754,-4.559943,366.5111,416.592,21.08271,296.8437,274.43,NAN,NAN,NAN,NAN,NAN,225.6909,75.394,234.9474,111.3201,83.82149,900,96.00829,Kljun et al,201.5,-2.533578,0,245.8521,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 08:00:00.000000,4005,2019,9,3,8,0,0,0,201909030730,201909030800,1.481768,0.06521259,5,18000,-3.31613,5,-0.004872569,-0.002436284,5,18000,-5.837847,5,18000,0.02602287,2,1.76044,0.1481364,0.03265954,0.158946,0.1891982,47.56915,441.9262,2.188685,784.7635,3.960058,0.9734973,23.29113,0.07818325,16.93115,0.05680097,0.9582049,101.1647,0.002778635,21.54087,0.1314644,89.20158,19.68612,2.302609,2.581526,2.789168,14.51322,1168.923,0.5224096,1.185854,1017.535,2450.056,1.835199,1.804262,3.314306,338.4835,223.0165,10.51685,1.805413,0.4034444,0,0.330077,1.490116e-08,0.2148807,23.69668,0.1321357,-53.94205,0,-8.785165,-5.15003,365.1039,415.4109,20.87394,296.9621,274.0428,NAN,NAN,NAN,NAN,NAN,160.4012,84.93709,3579.017,396.8539,236.5329,900,73.37814,KormannMeixner,201.5,-2.044834,0,223.0165,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 08:30:00.000000,4006,2019,9,3,8,30,0,0,201909030800,201909030830,0.6054513,0.02664591,8,18000,-32.91863,7,-0.04836182,-0.02418091,7,18000,-6.774658,7,18000,0.06643187,4,0.2058001,0.2365725,0.02371548,0.391122,0.06762175,133.0933,445.8376,2.785917,792.6801,5.089935,0.9734923,22.85727,0.3129333,16.63609,0.2250776,0.9581935,101.192,0.01028761,21.38446,0.1602118,88.44907,19.39345,2.261275,2.556957,2.956824,14.46598,1170.356,0.6396832,1.186992,1017.286,2450.426,1.426804,1.33848,4.215769,336.22,225.28,20.15311,1.343169,0.6723912,0,0.508449,7.450581e-09,0.2676073,23.4995,0.152809,-51.45614,0,-8.386288,-4.615731,366.6709,414.3565,20.68702,296.1493,273.8766,NAN,NAN,NAN,NAN,NAN,251.9555,83.73896,256.8987,123.1227,92.76511,900,96.42399,Kljun et al,201.5,-4.789233,0,225.28,9,0,0,0,0,0.580621,9
FLUX_BKLN,Flux_NYSMesonet,2019-09-03 09:00:00.000000,4007,2019,9,3,9,0,0,0,201909030830,201909030900,4.476314,0.1970026,7,18000,-9.932139,7,-0.01459241,-0.007296205,7,18000,-4.664356,7,18000,0.0396574,7,0.4696225,0.1827653,0.02113314,0.2066643,0.08791218,102.3749,446.39,2.736074,793.9161,4.900136,0.9732768,22.66856,0.1066216,16.50405,0.07516139,0.957975,101.2249,0.009780204,21.44001,0.1334247,87.45908,19.26959,2.243758,2.565643,3.218851,13.89055,1170.731,0.5900084,1.187235,1017.178,2450.294,1.321107,1.256644,3.041204,355.4303,206.0697,17.89252,1.259053,0.4595574,0,0.388048,-7.450581e-09,0.227056,23.53823,0.1370122,-37.76517,0,-3.105626,-0.260288,380.5586,415.4784,20.88574,294.5569,273.0339,NAN,NAN,NAN,NAN,NAN,219.9727,35.96533,1084.418,146.5602,90.96401,900,88.3748,KormannMeixner,201.5,-3.544635,0,206.0697,9,0,0,0,0,0.580621,9
