col,A_0,x_0,sigma,y_0
3,"[1.0, 0.006106042021550215, 12.512191861528077]",,,
8,"[1.0, 15.502389035816424, -3.4991012572520575]",,,
15,"[1.0, 12.668296379032505, -0.5871204314735607]",,,
13,"[1.0, -216.53912201540945, 0.5008768674622999]",,,
4,"[1.0, -10.01903309838475, 0.2563531110226678]",,,
9,"[1.0, 4.355952275927679, -1.116169533316858]",,,
22,"[1.0, -14.196449992443842, 0.14161045789763008]",,,
1,"[1.0, -0.1159431853150781, 4.4188121902997795]",,,
21,"[1.0, 3.934804746856508, -0.16667832702375662]",,,
23,"[1.0, 15.967851850408552, -0.09881805816552247]",,,
11,"[1.0, -6.49443767965478, 0.1263505853683331]",,,
2,,"[1.0, 0.014433164395164786, 13.570266029203475]",,
11,,"[1.0, -4.076637237989838, 0.07931180533723237]",,
9,,"[1.0, 0.6251809806095605, -0.16019641816473396]",,
7,,"[1.0, -1.2479591284777518, 0.1787414359043944]",,
4,,"[1.0, -0.9185326173323971, 0.023502135888121]",,
23,,"[1.0, 2.900903302107067, -0.01795243166167162]",,
22,,"[1.0, -2.1409723397038576, 0.021356330939991564]",,
1,,"[1.0, -0.018233171642571825, 0.6949003570342164]",,
13,,"[1.0, -9.056806707986826, 0.020949303937434615]",,
6,,"[1.0, 0.4528314365656667, -0.07003839957988257]",,
3,,"[1.0, -9.33102859962607e-05, 0.03289708423842239]",,
15,,"[1.0, 0.36203556755609145, -0.016778769329026888]",,
13,,,"[1.0, 48.953895421798386, 3.890702983742627]",
1,,,"[1.0, 0.03418776886716944, -1.3029599785046593]",
7,,,"[1.0, 1.9227872042941139, -0.275395026211914]",
3,,,"[1.0, 0.0003438423580444114, -0.12122363292545701]",
6,,,"[1.0, -1.0072985638010614, 0.1557965596194616]",
2,,,"[1.0, 0.007592830287241633, 0.7438261050412127]",
22,,,"[1.0, 2.2016714508568795, -0.021961806465902622]",
3,,,,"[1.0, 0.0025635258191761766, 3.5547854278519515]"
1,,,,"[1.0, 0.1562830393854983, -5.956239661475401]"
6,,,,"[1.0, -5.127798854364089, 0.79310498193716]"
15,,,,"[1.0, 2.3780435119655863, -0.11021197137352812]"
11,,,,"[1.0, -5.8172226624073495, 0.11317525474234003]"
21,,,,"[1.0, -1.8877193784990034, 0.0799637840036449]"
16,,,,"[1.0, -2.408204251750766, 0.089468070109048]"
8,,,,"[1.0, -1.20694377728665, 0.2724237183191064]"
10,,,,"[1.0, -17.67502451574123, 0.04833065572233018]"
23,,,,"[1.0, 6.012524424714047, -0.037208901142927076]"
13,,,,"[1.0, 22.35404695862738, -0.05170718453654377]"
22,,,,"[1.0, -3.9632782914808224, 0.039533949582255756]"
